taxon,specimen,ncpGS
Oxalis_spiralis,Emshwiller187,AF098977 
Oxalis_oulophora,Emshwiller308,AF098978 
Oxalis_longissima,Emshwiller64,AF098979 
Oxalis_mollissima,Emshwiller359,AF098980 
Oxalis_peduncularis,Emshwiller466,AF098981
Oxalis_flagellata,Emshwiller246,AF098982 
Oxalis_andina,Emshwiller315,AF098983 
Oxalis_ortgiesii,Emshwiller458,AF098984
Oxalis_laxa_var_hispidissima,Emshwiller744,AF470234 
Oxalis_pachyrrhiza,Emshwiller387,AF470235 
Oxalis_megalorrhiza,Emshwiller773,AF470236 
Oxalis_spiralis,Emshwiller249,AF470237 
Oxalis_spiralis,Emshwiller184,AF470238 
Oxalis_spiralis,Emshwiller244,AF470239
Oxalis_medicaginea,Emshwiller809,AF470240 
Oxalis_lotoides,Emshwiller789,AF470241 
Oxalis_subintegra,Emshwiller799,AF470242
Oxalis_unduavensis,Emshwiller351,AF470243 
Oxalis_unduavensis,Emshwiller291,AF470244 
Oxalis_cf_melilotoides,Emshwiller190,AF470245
Oxalis_sp_n_C,Emshwiller592,AF470246 
Oxalis_humbertii,Emshwiller604,AF470247 
Oxalis_lucumayensis_subsp_lucumayensis,Emshwiller485,AF470248
Oxalis_lucumayensis_subsp_lucumayensis,Emshwiller871,AF470249 
Oxalis_lucumayensis_subsp_subiens,Emshwiller289,AF470250 
Oxalis_sp_aff_ptychoclada,Emshwiller916,AF470251 
Oxalis_sp_n_A,Emshwiller504,AF470252 
Oxalis_paucartambensis,Emshwiller548,AF470253
Oxalis_cuzcensis,Emshwiller532,AF470254
Oxalis_herrerae,Emshwiller913,AF470255
Oxalis_herrerae,Emshwiller560,AF470256 
Oxalis_picchensis,Emshwiller500,AF470257 
Oxalis_herrerae,Emshwiller459/HERR1,AF470258 
Oxalis_weberbaueri,Emshwiller746,AF470259 
Oxalis_oblongiformis,Emshwiller797,AF470260
Oxalis_sp_n_V,Emshwiller807,AF470261 
Oxalis_ptychoclada_var_trichocarpa,Emshwiller600,AF470262 
Oxalis_cf_peduncularis,Emshwiller850,AF470263 
Oxalis_tabaconasensis,Emshwiller786,AF470264 
Oxalis_peduncularis_var_pilosa,Emshwiller791,AF470265 
Oxalis_petrophila,Emshwiller933,AF470266
Oxalis_nubigena,Emshwiller345,AF470267 
Oxalis_flagellata,Emshwiller331,AF470268 
Oxalis_tuberosa,MoralesHermannGarcia884,AF470269 
Oxalis_tuberosa,35-04,AF470270
Oxalis_tuberosa,MoralesHermannGarcia913,AF470271
Oxalis_tuberosa,MoralesHermannGarcia884,AF470272 
Oxalis_tuberosa,MoralesHermannGarcia884,AF470273 
Oxalis_cf_tuberosa,Emshwiller259,AF470274 
Oxalis_cf_tuberosa,Emshwiller259,AF470275 
Oxalis_tuberosa,MoralesHermannGarcia913,AF470276
Oxalis_tuberosa,MoralesHermannGarcia884,AF470277 
Oxalis_tuberosa,MoralesHermannGarcia884,AF470278 
Oxalis_tuberosa,MoralesHermannGarcia884,AF470279 
Oxalis_tuberosa,MoralesHermannGarcia884,AF470280 
Oxalis_tuberosa,MoralesHermannGarcia884,AF470281 
Oxalis_tuberosa,35-04,AF470282
Oxalis_tuberosa,35-04,AF470283
Oxalis_tuberosa,35-04,AF470284
Oxalis_tuberosa,35-04,AF470285
Oxalis_tuberosa,MoralesHermannGarcia884,AF470286 
Oxalis_tuberosa,35-04,AF470287
Oxalis_tuberosa,MoralesHermannGarcia913,AF470288 
Oxalis_tuberosa,MoralesHermannGarcia913,AF470289 
Oxalis_tuberosa,MoralesHermannGarcia913,AF470290 
Oxalis_tuberosa,35-04,AF470291
Oxalis_tuberosa,35-04,AF470292
Oxalis_tuberosa,MoralesHermannGarcia913,AF470293 
Oxalis_tuberosa,MoralesHermannGarcia913,AF470294 
Oxalis_tuberosa,35-04,AF470295
Oxalis_tuberosa,MoralesHermannGarcia884,AF470296
Oxalis_tuberosa,35-04,AF470297
Oxalis_tuberosa,MoralesHermannGarcia913,AF470298
Oxalis_tuberosa,35-04,AF470299
Oxalis_tuberosa,MoralesHermannGarcia913,AF470300 
Oxalis_tuberosa,MoralesHermannGarcia884,AF470301 
Oxalis_tuberosa,35-04,AF470302
Oxalis_tuberosa,35-04,AF470303
Oxalis_tuberosa,35-04,AF470304
Oxalis_tuberosa,35-04,AF470305
Oxalis_tuberosa,MoralesHermannGarcia913,AF470306 
Oxalis_tuberosa,MoralesHermannGarcia884,AF470307 
Oxalis_cf_tuberosa,Emshwiller259,AF470308 
Oxalis_cf_tuberosa,Emshwiller259,AF470309 
Oxalis_cf_tuberosa,Emshwiller259,AF470310 
Oxalis_cf_tuberosa,Emshwiller259,AF470311 
Oxalis_cf_tuberosa,Emshwiller259 ,AF470312 
Oxalis_cf_tuberosa,Emshwiller259 ,AF470313 
Oxalis_staffordiana,Emshwiller512,AF470314 
Oxalis_teneriensis,Emshwiller511,AF470315 
Oxalis_polyrhiza,Emshwiller960,AF470316
Oxalis_picchensis,Emshwiller531,AF470317 
