taxon,specimen,ITS,psbA_trnH
Oxalis_chachahuensis,MartinezCarretero1570,MH220862,MH998371
Oxalis_cinerea,Heibl03-095,JN634728,JN602085
Oxalis_compacta,Zuloaga12313,MH220864,NA
Oxalis_compacta,Teillier5013,JN634729,JN602086
Oxalis_erythrorhiza,Zuloaga12781,MH220857,MH998365
Oxalis_famatinae,Zuloaga11970,MH220858,MH998374
Oxalis_fontana,GravendeelKoops302,NA,JN602091
Oxalis_hypsophila,HeiblPfanzelt05-039,JN634735,NA
Oxalis_laxa,Zuloaga12555,MH220854,NA
Oxalis_laxa,Zuloaga12428,MH220866,MH998367
Oxalis_laxa,Heibl03-091,JN634738,JN607486
Oxalis_muscoides,Zuloaga12256,MH220856,MH998369
Oxalis_nahuelhuapiensis,Biganzoli2126,MH220863,MH998372
Oxalis_penicillata,HeiblPfanzelt05-032,JN634749,NA
Oxalis_pycnophylla,Zuloaga11747,MH220861,MH998370
Oxalis_spiralis,Zuloaga11469,MH220859,NA
Oxalis_spiralis,Zuloaga11633,MH220860,NA
Oxalis_squamata,Zuloaga12520,MH220855,MH998368
Oxalis_squamata,HeiblPfanzelt05-027,JN634752,NA
Oxalis_squarrosa,Munoz_4534,JN634753,NA
Oxalis_subacaulis,Salomon245,MH220865,MH998373
Oxalis_valdiviensis,ZavalaGallo81,MH220853,MH998366
Oxalis_valdiviensis,ZavalaGallo128,MH220852,NA
Oxalis_valdiviensis,HeiblPfanzelt05-016,JN634755,NA
Oxalis_virgosa,Heibl03-031,JN634756,JN607505
