species,specimen,ITS,psbA_trnH
Oxalis_chachahuensis,E_Martinez-Carretero_1570,MH220862,MH998371
Oxalis_cinerea,Heibl_03-095,JN634728,JN602085
Oxalis_compacta,FO_Zuloaga_12313,MH220864,NA
Oxalis_compacta,Teillier_5013,JN634729,JN602086
Oxalis_erythrorhiza,FO_Zuloaga_12781,MH220857,MH998365
Oxalis_famatinae,FO_Zuloaga_11970,MH220858,MH998374
Oxalis_fontana,Gravendeel_Koops_302,NA,JN602091
Oxalis_hypsophila,Heibl_Pfanzelt_05-039,JN634735,NA
Oxalis_laxa,FO_Zuloaga_12555,MH220854,NA
Oxalis_laxa,FO_Zuloaga_12428,MH220866,MH998367
Oxalis_laxa,Heibl_03-091,JN634738,JN607486
Oxalis_muscoides,FO_Zuloaga_12256,MH220856,MH998369
Oxalis_nahuelhuapiensis,F_Biganzoli_2126,MH220863,MH998372
Oxalis_penicillata,Heibl_Pfanzelt_05-032,JN634749,NA
Oxalis_pycnophylla,FO_Zuloaga_11747,MH220861,MH998370
Oxalis_spiralis,FO_Zuloaga_11469,MH220859,NA
Oxalis_spiralis,FO_Zuloaga_11633,MH220860,NA
Oxalis_squamata,FO_Zuloaga_12520,MH220855,MH998368
Oxalis_squamata,Heibl_Pfanzelt_05-027,JN634752,NA
Oxalis_squarrosa,Munoz_4534,JN634753,NA
Oxalis_subacaulis,L_Salomon_245,MH220865,MH998373
Oxalis_valdiviensis,L_Zavala-Gallo_81,MH220853,MH998366
Oxalis_valdiviensis,L_Zavala-Gallo_128,MH220852,NA
Oxalis_valdiviensis,Heibl_Pfanzelt_05-016,JN634755,NA
Oxalis_virgosa,Heibl_03-031,JN634756,JN607505
