species,specimen,ITS ,psbJ_petA ,trnL_trnF ,trnL_trnT 
Oxalis_articulata_f_crassipes ,E_Emshwiller_463 ,JN618506 ,JN836788 ,--- ,JN836859 
Oxalis_articulata_subsp_articulata ,M_Vaio_505 ,KX249612 ,KX249662 ,KX249636 ,KX249639 
Oxalis_articulata_subsp_rubra ,M_Vaio_226 ,KX249615 ,KX249663 ,KX249640 ,KX249641 
Oxalis_sp_Betete ,M_Vaio_297 ,KX249631 ,KX249668 ,KX249657 ,KX249658 
Oxalis_sp_Cuervos ,M_Vaio_294 ,KX249632 ,KX249669 ,KX249659 ,KX249660 
Oxalis_floribunda_subsp_floribunda ,M_Vaio_358 ,JN836767 ,JN836790 ,JN836758 ,JN836861 
Oxalis_floribunda_subsp_ostenii ,M_Vaio_388 ,KX249623 ,KX249665 ,KX249647 ,KX249648 
Oxalis_lasiopetala ,M_Vaio_87 ,KX249626 ,KX249666 ,KX249651 ,KX249652 
Oxalis_linarantha ,R_Wasum_3369 ,NA ,JN618508 ,JN639541 ,JN836862 
Oxalis linarantha ,P_Fiaschi_3710 ,KX249629 ,NA ,NA ,NA 
Oxalis_monticola ,M_Vaio_20 ,KX249630 ,KX249667 ,KX249655 ,KX249656 
Oxalis_triangularis_subsp_papilionacea,E_Emshwiller_456,JN618512 ,JN836793 ,EU437141 ,JN836864 
Oxalis_geralensis ,Unknown_Collector_N,KX249625 ,NA ,KX249650 ,KX249649 
Oxalis_perdicaria ,M_Vaio_79,JN836772 ,JN836808 ,JN836762 ,JN836878 
Oxalis_hernandezii ,A_Gardner_26,JN618533 ,JN836828 ,JN639567 ,JN836896 
Oxalis_flava ,L_Dreyer_614 ,EU436924,NA ,AJ582318 ,EU437372 
Oxalis_incarnata ,E_Emshwiller_149,JN618509 ,JN836791 ,JN639542 ,JN836863 
Oxalis_pes-caprae ,E_Emshwiller_608,JN618510 ,JN836792 ,EU437145 ,NA 
Oxalis_adenophylla ,A_Gardner_ADEPH1,JN618511 ,JN836802 ,JN639550 ,JN836872 
Oxalis_laciniata ,Heibl_Munoz_Toro_04-047,JN634737 ,NA ,JN620134 ,JN620097 
Oxalis_enneaphylla ,Heibl_Munoz_Toro_04-047,JN634732 ,NA ,JN620127 ,JN620092 
Oxalis_rosea ,Heibl_03-014,JN634751 ,JN836784 ,JN620150 ,JN836854 
